pincode,state_name,city_name
504273,telangana,Adilabad
504293,telangana,Adilabad
504307,telangana,Adilabad
504001,telangana,Adilabad
504251,telangana,Adilabad
504309,telangana,Adilabad
504201,telangana,Adilabad
504110,telangana,Adilabad
504202,telangana,Adilabad
504296,telangana,Adilabad
504231,telangana,Adilabad
504109,telangana,Adilabad
504299,telangana,Adilabad
504002,telangana,Adilabad
504204,telangana,Adilabad
504312,telangana,Adilabad
504313,telangana,Adilabad
504101,telangana,Adilabad
504205,telangana,Adilabad
504203,telangana,Adilabad
504295,telangana,Adilabad
504106,telangana,Adilabad
504306,telangana,Adilabad
504304,telangana,Adilabad
504103,telangana,Adilabad
504308,telangana,Adilabad
504311,telangana,Adilabad
504272,telangana,Adilabad
504323,telangana,Adilabad
504215,telangana,Adilabad
504346,telangana,Adilabad
504310,telangana,Adilabad
504294,telangana,Adilabad
504302,telangana,Adilabad
504206,telangana,Adilabad
504102,telangana,Adilabad
504218,telangana,Adilabad
504207,telangana,Adilabad
504209,telangana,Adilabad
504104,telangana,Adilabad
504292,telangana,Adilabad
504297,telangana,Adilabad
504219,telangana,Adilabad
504208,telangana,Adilabad
504216,telangana,Adilabad
504214,telangana,Adilabad
504105,telangana,Adilabad
504301,telangana,Adilabad
504220,telangana,Adilabad
504107,telangana,Adilabad
504303,telangana,Adilabad
506144,telangana,Warangal
506343,telangana,Warangal
506145,telangana,Warangal
506169,telangana,Warangal
506355,telangana,Warangal
506366,telangana,Warangal
506172,telangana,Warangal
506342,telangana,Warangal
506224,telangana,Warangal
506223,telangana,Warangal
506221,telangana,Warangal
506371,telangana,Warangal
506352,telangana,Warangal
506367,telangana,Warangal
506303,telangana,Warangal
506244,telangana,Warangal
506003,telangana,Warangal
506344,telangana,Warangal
506345,telangana,Warangal
506015,telangana,Warangal
506347,telangana,Warangal
506349,telangana,Warangal
506252,telangana,Warangal
506165,telangana,Warangal
506301,telangana,Warangal
506170,telangana,Warangal
506356,telangana,Warangal
506168,telangana,Warangal
506319,telangana,Warangal
506391,telangana,Warangal
506175,telangana,Warangal
506011,telangana,Warangal
506348,telangana,Warangal
506370,telangana,Warangal
506302,telangana,Warangal
506142,telangana,Warangal
506004,telangana,Warangal
506143,telangana,Warangal
506201,telangana,Warangal
506001,telangana,Warangal
506151,telangana,Warangal
506167,telangana,Warangal
506009,telangana,Warangal
506164,telangana,Warangal
505445,telangana,Karim Nagar
505305,telangana,Karim Nagar
505532,telangana,Karim Nagar
505330,telangana,Karim Nagar
505531,telangana,Karim Nagar
505466,telangana,Karim Nagar
505527,telangana,Karim Nagar
505460,telangana,Karim Nagar
505526,telangana,Karim Nagar
505306,telangana,Karim Nagar
505450,telangana,Karim Nagar
